#id (do not edit),enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
"gun_15_x3_italy_bb, bc, ca, cl",,381,gun_15_x3,italy,"bb, bc, ca, cl",dreadnought_gun_c_305_x3,1.55,1.61,1.16,0.9,dreadnought_gun_c_305_x3,1.576,1.623,1.18,0.9,dreadnought_gun_c_305_x3,1.6,1.65,1.2,0.9,litt_gun_381_x3,1,1.03,1.38,,litt_gun_381_x3,1.01,1.05,1.4,,,1.725,1.75,,,,,,,
gun_16_x1_italy,,406,gun_16_x1,italy,,litt_gun_381a_x1,1.01,1.04,1.32,,litt_gun_381a_x1,1.03,1.06,1.34,,litt_gun_381_x1,1.04,1.076,1.36,,litt_gun_381_x1,1.06,1.09,1.38,,litt_gun_381_x1,1.07,1.11,1.4,,,,,,,,,,,
gun_16_x2_italy,,406,gun_16_x2,italy,,litt_gun_381a_x2,1.01,1.04,1.32,,litt_gun_381a_x2,1.03,1.06,1.34,,litt_gun_381_x2,1.04,1.076,1.36,,litt_gun_381_x2,1.06,1.09,1.38,,litt_gun_381_x2,1.07,1.11,1.4,,,,,,,,,,,
gun_16_x3_italy,,406,gun_16_x3,italy,,litt_gun_381a_x3,1.01,1.04,1.32,,litt_gun_381a_x3,1.03,1.06,1.34,,litt_gun_381_x3,1.04,1.076,1.36,,litt_gun_381_x3,1.06,1.09,1.38,,litt_gun_381_x3,1.07,1.11,1.4,,,,,,,,,,,
gun_17_x1_italy,,432,gun_17_x1,italy,,litt_gun_381a_x1,1.07,1.1,1.32,,litt_gun_381a_x1,1.087,1.116,1.34,,litt_gun_381_x1,1.1,1.13,1.36,,litt_gun_381_x1,1.12,1.15,1.38,,litt_gun_381_x1,1.134,1.16,1.4,,,,,,,,,,,
gun_17_x2_italy,,432,gun_17_x2,italy,,litt_gun_381a_x2,1.07,1.1,1.32,,litt_gun_381a_x2,1.087,1.116,1.34,,litt_gun_381_x2,1.1,1.13,1.36,,litt_gun_381_x2,1.12,1.15,1.38,,litt_gun_381_x2,1.134,1.16,1.4,,,,,,,,,,,
gun_17_x3_italy,,432,gun_17_x3,italy,,litt_gun_381a_x3,1.07,1.1,1.32,,litt_gun_381a_x3,1.087,1.116,1.34,,litt_gun_381_x3,1.1,1.13,1.36,,litt_gun_381_x3,1.12,1.15,1.38,,litt_gun_381_x3,1.134,1.16,1.4,,,,,,,,,,,
gun_18_x1_italy,,457,gun_18_x1,italy,,litt_gun_381a_x1,1.128,1.155,1.32,,litt_gun_381a_x1,1.145,1.173,1.34,,litt_gun_381_x1,1.16,1.19,1.36,,litt_gun_381_x1,1.18,1.21,1.38,,litt_gun_381_x1,1.19,1.22,1.4,,,,,,,,,,,
gun_18_x2_italy,,457,gun_18_x2,italy,,litt_gun_381a_x2,1.128,1.155,1.32,,litt_gun_381a_x2,1.145,1.173,1.34,,litt_gun_381_x2,1.16,1.19,1.36,,litt_gun_381_x2,1.18,1.21,1.38,,litt_gun_381_x2,1.19,1.22,1.4,,,,,,,,,,,
gun_18_x3_italy,,457,gun_18_x3,italy,,litt_gun_381a_x3,1.128,1.155,1.32,,litt_gun_381a_x3,1.145,1.173,1.34,,litt_gun_381_x3,1.16,1.19,1.36,,litt_gun_381_x3,1.18,1.21,1.38,,litt_gun_381_x3,1.19,1.22,1.4,,,,,,,,,,,
gun_19_x1_italy,,483,gun_19_x1,italy,,litt_gun_381a_x1,1.185,1.21,1.32,,litt_gun_381a_x1,1.2,1.23,1.34,,litt_gun_381_x1,1.22,1.25,1.36,,litt_gun_381_x1,1.24,1.27,1.38,,litt_gun_381_x1,1.26,1.28,1.4,,,,,,,,,,,
gun_19_x2_italy,,483,gun_19_x2,italy,,litt_gun_381a_x2,1.185,1.21,1.32,,litt_gun_381a_x2,1.2,1.23,1.34,,litt_gun_381_x2,1.22,1.25,1.36,,litt_gun_381_x2,1.24,1.27,1.38,,litt_gun_381_x2,1.26,1.28,1.4,,,,,,,,,,,
gun_19_x3_italy,,483,gun_19_x3,italy,,litt_gun_381a_x3,1.185,1.21,1.32,,litt_gun_381a_x3,1.2,1.23,1.34,,litt_gun_381_x3,1.22,1.25,1.36,,litt_gun_381_x3,1.24,1.27,1.38,,litt_gun_381_x3,1.26,1.28,1.4,,,,,,,,,,,
gun_20_x1_italy,,508,gun_20_x1,italy,,litt_gun_381a_x1,1.24,1.285,1.32,,litt_gun_381a_x1,1.26,1.3,1.34,,litt_gun_381_x1,1.28,1.32,1.36,,litt_gun_381_x1,1.3,1.33,1.38,,litt_gun_381_x1,1.32,1.35,1.4,,,,,,,,,,,
gun_20_x2_italy,,508,gun_20_x2,italy,,litt_gun_381a_x2,1.24,1.285,1.32,,litt_gun_381a_x2,1.26,1.3,1.34,,litt_gun_381_x2,1.28,1.32,1.36,,litt_gun_381_x2,1.3,1.33,1.38,,litt_gun_381_x2,1.32,1.35,1.4,,,,,,,,,,,
gun_20_x3_italy,,508,gun_20_x3,italy,,litt_gun_381a_x3,1.24,1.285,1.32,,litt_gun_381a_x3,1.26,1.3,1.34,,litt_gun_381_x3,1.28,1.32,1.36,,litt_gun_381_x3,1.3,1.33,1.38,,litt_gun_381_x3,1.32,1.35,1.4,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_3_x1_japan_dd,,76,gun_3_x1,japan,dd,,,,,,,,,,,,,,,,akizuki_gun_100_x1,0.73,0.96,1.15,,akizuki_gun_100_x1,0.745,0.975,1.17,,,,,,,,,,,
gun_3_x2_japan_dd,,76,gun_3_x2,japan,dd,,,,,,,,,,,,,,,,akizuki_gun_100_x2,0.73,0.96,1.15,,akizuki_gun_100_x2,0.745,0.975,1.17,,,,,,,,,,,
gun_3_x3_japan_dd,,76,gun_3_x3,japan,dd,,,,,,,,,,,,,,,,akizuki_gun_100_x3,0.73,0.96,1.15,,akizuki_gun_100_x3,0.745,0.975,1.17,,,,,,,,,,,
gun_4_x1_japan_dd,,102,gun_4_x1,japan,dd,,,,,,,,,,,,,,,,akizuki_gun_100_x1,0.985,1.1,1.15,,akizuki_gun_100_x1,1,1.11,1.17,,,,,,,,,,,
gun_4_x2_japan_dd,,102,gun_4_x2,japan,dd,,,,,,,,,,,,,,,,akizuki_gun_100_x2,0.985,1.1,1.15,,akizuki_gun_100_x2,1,1.11,1.17,,,,,,,,,,,
gun_4_x3_japan_dd,,102,gun_4_x3,japan,dd,,,,,,,,,,,,,,,,akizuki_gun_100_x3,0.985,1.1,1.15,,akizuki_gun_100_x3,1,1.11,1.17,,,,,,,,,,,
"gun_5_x1_japan_dd, cl",,127,gun_5_x1,japan,"dd, cl",,,,,,,,,,,,,,,,akizuki_gun_127_x1,0.985,1.1,1.2,,akizuki_gun_127_x1,1,1.11,1.22,,,,,,,,,,,
"gun_5_x2_japan_dd, cl",,127,gun_5_x2,japan,"dd, cl",,,,,,,,,,,,,,,,akizuki_gun_127_x2,0.985,1.1,1.2,,akizuki_gun_127_x2,1,1.11,1.22,,,,,,,,,,,
"gun_5_x3_japan_dd, cl",,127,gun_5_x3,japan,"dd, cl",,,,,,,,,,,,,,,,akizuki_gun_127_x3,0.985,1.1,1.2,,akizuki_gun_127_x3,1,1.11,1.22,,,,,,,,,,,
"gun_2_x1_japan_bb, bc,ca,cl",,51,gun_2_x1,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_25_x1,0.985,1.15,0.75,,yamato_gun_25_x1,1,1.17,0.77,,,,,,,,,,,
"gun_2_x2_japan_bb, bc,ca,cl",,51,gun_2_x2,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_25_x2,0.985,1.15,0.75,,yamato_gun_25_x2,1,1.17,0.77,,,,,,,,,,,
"gun_2_x3_japan_bb, bc,ca,cl",,51,gun_2_x3,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_25_x3,0.985,1.15,0.75,,yamato_gun_25_x3,1,1.17,0.77,,,,,,,,,,,
"gun_3_x1_japan_bb, bc,ca,cl",,76,gun_3_x1,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_25_x1,1.182,1.38,0.75,,yamato_gun_25_x1,1.2,1.4,0.77,,,,,,,,,,,
"gun_3_x2_japan_bb, bc,ca,cl",,76,gun_3_x2,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_25_x2,1.182,1.38,0.75,,yamato_gun_25_x2,1.2,1.4,0.77,,,,,,,,,,,
"gun_3_x3_japan_bb, bc,ca,cl",,76,gun_3_x3,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_25_x3,1.182,1.38,0.75,,yamato_gun_25_x3,1.2,1.4,0.77,,,,,,,,,,,
"gun_4_x1_japan_bb, bc,ca,cl",,102,gun_4_x1,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_127_x1,1.125,1.22,0.9,,yamato_gun_127_x1,1.14,1.23,0.92,,,,,,,,,,,
"gun_4_x2_japan_bb, bc,ca,cl",,102,gun_4_x2,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_127_x2,1.125,1.22,0.9,,yamato_gun_127_x2,1.14,1.23,0.92,,,,,,,,,,,
"gun_4_x3_japan_bb, bc,ca,cl",,102,gun_4_x3,japan,"bb, bc,ca,cl",,,,,,,,,,,,,,,,yamato_gun_127_x3,1.125,1.22,0.9,,yamato_gun_127_x3,1.14,1.23,0.92,,,,,,,,,,,
"gun_5_x1_japan_bb, bc,ca",,127,gun_5_x1,japan,"bb, bc,ca",,,,,,,,,,,,,,,,yamato_gun_127_x1,1.25,1.366,0.9,,yamato_gun_127_x1,1.26,1.38,0.92,,,,,,,,,,,
"gun_5_x2_japan_bb, bc,ca",,127,gun_5_x2,japan,"bb, bc,ca",,,,,,,,,,,,,,,,yamato_gun_127_x2,1.25,1.366,0.9,,yamato_gun_127_x2,1.26,1.38,0.92,,,,,,,,,,,
"gun_5_x3_japan_bb, bc,ca",,127,gun_5_x3,japan,"bb, bc,ca",,,,,,,,,,,,,,,,yamato_gun_127_x3,1.25,1.366,0.9,,yamato_gun_127_x3,1.26,1.38,0.92,,,,,,,,,,,
"gun_6_x1_japan_bb, bc,ca,cl",,152,gun_6_x1,japan,"bb, bc,ca,cl",friedrich_gun_228_x1,0.7,0.78,1.25,,,,,,,,,,,,yamato_gun_155_x1,0.985,1.03,1.3,,yamato_gun_155_x1,1,1.055,1.32,,,,,,,,,,,
"gun_6_x2_japan_bb, bc,ca,cl",,152,gun_6_x2,japan,"bb, bc,ca,cl",friedrich_gun_228_x2,0.7,0.78,1.25,,,,,,,,,,,,yamato_gun_155_x2,0.985,1.03,1.3,,yamato_gun_155_x2,1,1.055,1.32,,,,,,,,,,,
"gun_6_x3_japan_bb, bc,ca,cl",,152,gun_6_x3,japan,"bb, bc,ca,cl",friedrich_gun_228_x3,0.7,0.78,1.25,,,,,,,,,,,,yamato_gun_155_x3,0.985,1.03,1.3,,yamato_gun_155_x3,1,1.055,1.32,,,,,,,,,,,
"gun_7_x1_japan_bb, bc,ca,cl",,178,gun_7_x1,japan,"bb, bc,ca,cl",friedrich_gun_228_x1,0.8,0.8775,1.25,,,,,,,,,,,,yamato_gun_155_x1,1.05,1.1,1.3,,yamato_gun_155_x1,1.07,1.125,1.32,,,,,,,,,,,
"gun_7_x2_japan_bb, bc,ca,cl",,178,gun_7_x2,japan,"bb, bc,ca,cl",friedrich_gun_228_x2,0.8,0.8775,1.25,,,,,,,,,,,,yamato_gun_155_x2,1.05,1.1,1.3,,yamato_gun_155_x2,1.07,1.125,1.32,,,,,,,,,,,
"gun_7_x3_japan_bb, bc,ca,cl",,178,gun_7_x3,japan,"bb, bc,ca,cl",friedrich_gun_228_x3,0.8,0.8775,1.25,,,,,,,,,,,,yamato_gun_155_x3,1.05,1.1,1.3,,yamato_gun_155_x3,1.07,1.125,1.32,,,,,,,,,,,
"gun_8_x1_japan_bb, bc,ca,cl",,203,gun_8_x1,japan,"bb, bc,ca,cl",friedrich_gun_228_x1,0.9,0.975,1.25,,,,,,,,,,,,moga_gun_200_x1,1.182,1.25,1.33,,moga_gun_200_x1,1.2,1.28,1.35,,,,,,,,,,,
"gun_8_x2_japan_bb, bc,ca,cl",,203,gun_8_x2,japan,"bb, bc,ca,cl",friedrich_gun_228_x2,0.9,0.975,1.25,,,,,,,,,,,,moga_gun_200_x2,1.182,1.25,1.33,,moga_gun_200_x2,1.2,1.28,1.35,,,,,,,,,,,
"gun_8_x3_japan_bb, bc,ca,cl",,203,gun_8_x3,japan,"bb, bc,ca,cl",friedrich_gun_228_x3,0.9,0.975,1.25,,,,,,,,,,,,moga_gun_200_x3,1.182,1.25,1.33,,moga_gun_200_x3,1.2,1.28,1.35,,,,,,,,,,,
"gun_9_x1_japan_bb, bc,ca,cl",,229,gun_9_x1,japan,"bb, bc,ca,cl",friedrich_gun_228_x1,1,1.0725,1.25,,agamemnon_gun_228_x1,1.1,1.195,1.2,,agamemnon_gun_228_x1,1.125,1.21,1.22,,moga_gun_200_x1,1.28,1.35,1.33,,moga_gun_200_x1,1.3,1.38,1.35,,,0.56,,,,,,,,
"gun_9_x2_japan_bb, bc,ca,cl",,229,gun_9_x2,japan,"bb, bc,ca,cl",friedrich_gun_228_x2,1,1.0725,1.25,,agamemnon_gun_228_x2,1.1,1.195,1.2,,agamemnon_gun_228_x2,1.125,1.21,1.22,,moga_gun_200_x2,1.28,1.35,1.33,,moga_gun_200_x2,1.3,1.38,1.35,,,0.56,,,,,,,,
"gun_9_x3_japan_bb, bc,ca,cl",,229,gun_9_x3,japan,"bb, bc,ca,cl",friedrich_gun_228_x3,1,1.0725,1.25,,agamemnon_gun_228_x3,1.1,1.195,1.2,,agamemnon_gun_228_x3,1.125,1.21,1.22,,moga_gun_200_x3,1.28,1.35,1.33,,moga_gun_200_x3,1.3,1.38,1.35,,,0.56,,,,,,,,
"gun_10_x1_japan_bb, bc,ca,cl",,254,gun_10_x1,japan,"bb, bc,ca,cl",friedrich_gun_228_x1,1.1,1.17,1.25,,agamemnon_gun_305_x1,0.85,0.897,1.2,,agamemnon_gun_305_x1,0.875,0.92,1.22,,fus_gun_356_x1_a,0.95,0.975,1.36,,yamato_gun_b_460_x1,0.61,0.64,1.28,,,0.61,,,,,,,,
"gun_10_x2_japan_bb, bc,ca,cl",,254,gun_10_x2,japan,"bb, bc,ca,cl",friedrich_gun_228_x2,1.1,1.17,1.25,,agamemnon_gun_305_x2,0.85,0.897,1.2,,agamemnon_gun_305_x2,0.875,0.92,1.22,,fus_gun_356_x2_a,0.95,0.975,1.36,,yamato_gun_b_460_x2,0.61,0.64,1.28,,,0.61,,,,,,,,
"gun_10_x3_japan_bb, bc,ca,cl",,254,gun_10_x3,japan,"bb, bc,ca,cl",friedrich_gun_228_x3,1.1,1.17,1.25,,agamemnon_gun_305_x3,0.85,0.897,1.2,,agamemnon_gun_305_x3,0.875,0.92,1.22,,fus_gun_356_x3_a,0.95,0.975,1.36,,yamato_gun_b_460_x3,0.61,0.64,1.28,,,0.61,,,,,,,,
"gun_11_x1_japan_bb, bc,ca,cl",,279,gun_11_x1,japan,"bb, bc,ca,cl",friedrich_gun_228_x1,1.2,1.2675,1.25,,agamemnon_gun_305_x1,0.92,0.975,1.2,,agamemnon_gun_305_x1,0.945,1,1.22,,fus_gun_356_x1_a,1,1.02,1.36,,yamato_gun_b_460_x1,0.66,0.69,1.28,,,0.66,,,,,,,,
"gun_11_x2_japan_bb, bc,ca,cl",,279,gun_11_x2,japan,"bb, bc,ca,cl",friedrich_gun_228_x2,1.2,1.2675,1.25,,agamemnon_gun_305_x2,0.92,0.975,1.2,,agamemnon_gun_305_x2,0.945,1,1.22,,fus_gun_356_x2_a,1,1.02,1.36,,yamato_gun_b_460_x2,0.66,0.69,1.28,,,0.66,,,,,,,,
"gun_11_x3_japan_bb, bc,ca,cl",,279,gun_11_x3,japan,"bb, bc,ca,cl",friedrich_gun_228_x3,1.2,1.2675,1.25,,agamemnon_gun_305_x3,0.92,0.975,1.2,,agamemnon_gun_305_x3,0.945,1,1.22,,fus_gun_356_x3_a,1,1.02,1.36,,yamato_gun_b_460_x3,0.66,0.69,1.28,,,0.66,,,,,,,,
"gun_12_x1_japan_bb, bc,ca,cl",,305,gun_12_x1,japan,"bb, bc,ca,cl",friedrich_gun_228_x1,1.3,1.365,1.25,1.025,agamemnon_gun_305_x1,1,1.056,1.2,,agamemnon_gun_305_x1,1.025,1.08,1.22,,fus_gun_356_x1_a,1.05,1.07,1.36,,yamato_gun_b_460_x1,0.71,0.74,1.28,,,0.71,,,,,,,,
"gun_12_x2_japan_bb, bc,ca,cl",,305,gun_12_x2,japan,"bb, bc,ca,cl",friedrich_gun_228_x2,1.3,1.365,1.25,1.025,agamemnon_gun_305_x2,1,1.056,1.2,,agamemnon_gun_305_x2,1.025,1.08,1.22,,fus_gun_356_x2_a,1.05,1.07,1.36,,yamato_gun_b_460_x2,0.71,0.74,1.28,,,0.71,,,,,,,,
"gun_12_x3_japan_bb, bc,ca,cl",,305,gun_12_x3,japan,"bb, bc,ca,cl",friedrich_gun_228_x3,1.3,1.365,1.25,1.025,agamemnon_gun_305_x3,1,1.056,1.2,,agamemnon_gun_305_x3,1.025,1.08,1.22,,fus_gun_356_x3_a,1.05,1.07,1.36,,yamato_gun_b_460_x3,0.71,0.74,1.28,,,0.71,,,,,,,,
"gun_13_x1_japan_bb, bc,ca,cl",,330,gun_13_x1,japan,"bb, bc,ca,cl",friedrich_gun_228_x1,1.4,1.463,1.25,,agamemnon_gun_305_x1,1.083,1.14,1.2,,agamemnon_gun_305_x1,1.11,1.16,1.22,,fus_gun_356_x1_a,1.1,1.12,1.36,,yamato_gun_b_460_x1,0.76,0.79,1.28,,,0.76,,,,,,,,
"gun_13_x2_japan_bb, bc,ca,cl",,330,gun_13_x2,japan,"bb, bc,ca,cl",friedrich_gun_228_x2,1.4,1.463,1.25,,agamemnon_gun_305_x2,1.083,1.14,1.2,,agamemnon_gun_305_x2,1.11,1.16,1.22,,fus_gun_356_x2_a,1.1,1.12,1.36,,yamato_gun_b_460_x2,0.76,0.79,1.28,,,0.76,,,,,,,,
"gun_13_x3_japan_bb, bc,ca,cl",,330,gun_13_x3,japan,"bb, bc,ca,cl",friedrich_gun_228_x3,1.4,1.463,1.25,,agamemnon_gun_305_x3,1.083,1.14,1.2,,agamemnon_gun_305_x3,1.11,1.16,1.22,,fus_gun_356_x3_a,1.1,1.12,1.36,,yamato_gun_b_460_x3,0.76,0.79,1.28,,,0.76,,,,,,,,
"gun_14_x1_japan_bb, bc",,356,gun_14_x1,japan,"bb, bc",agamemnon_gun_305_x1,1.141,1.194,1.18,,agamemnon_gun_305_x1,1.166,1.22,1.2,,agamemnon_gun_305_x1,1.19,1.23,1.22,,fus_gun_356_x1_a,1.15,1.19,1.36,,yamato_gun_b_460_x1,0.81,0.83,1.28,,,0.81,,,,,,,,
"gun_14_x2_japan_bb, bc",,356,gun_14_x2,japan,"bb, bc",agamemnon_gun_305_x2,1.141,1.194,1.18,,agamemnon_gun_305_x2,1.166,1.22,1.2,,agamemnon_gun_305_x2,1.19,1.23,1.22,,fus_gun_356_x2_a,1.15,1.19,1.36,,yamato_gun_b_460_x2,0.81,0.83,1.28,,,0.81,,,,,,,,
"gun_14_x3_japan_bb, bc",,356,gun_14_x3,japan,"bb, bc",agamemnon_gun_305_x3,1.141,1.194,1.18,,agamemnon_gun_305_x3,1.166,1.22,1.2,,agamemnon_gun_305_x3,1.19,1.23,1.22,,fus_gun_356_x3_a,1.15,1.19,1.36,,yamato_gun_b_460_x3,0.81,0.83,1.28,,,0.81,,,,,,,,
"gun_15_x1_japan_bb, bc",,381,gun_15_x1,japan,"bb, bc",agamemnon_gun_305_x1,1.225,1.275,1.18,,agamemnon_gun_305_x1,1.25,1.3,1.2,,fus_gun_356_x1_a,1.2,1.26,1.34,,fus_gun_356_x1_a,1.225,1.28,1.36,,yamato_gun_b_460_x1,0.85,0.89,1.28,,,0.85,,,,,,,,
"gun_15_x2_japan_bb, bc",,381,gun_15_x2,japan,"bb, bc",agamemnon_gun_305_x2,1.225,1.275,1.18,,agamemnon_gun_305_x2,1.25,1.3,1.2,,fus_gun_356_x2_a,1.2,1.26,1.34,,fus_gun_356_x2_a,1.225,1.28,1.36,,yamato_gun_b_460_x2,0.85,0.89,1.28,,,0.85,,,,,,,,
"gun_15_x3_japan_bb, bc",,381,gun_15_x3,japan,"bb, bc",agamemnon_gun_305_x3,1.225,1.275,1.18,,agamemnon_gun_305_x3,1.25,1.3,1.2,,fus_gun_356_x3_a,1.2,1.26,1.34,,fus_gun_356_x3_a,1.225,1.28,1.36,,yamato_gun_b_460_x3,0.85,0.89,1.28,,,0.85,,,,,,,,
"gun_16_x1_japan_bb, bc",,406,gun_16_x1,japan,"bb, bc",agamemnon_gun_305_x1,1.308,1.368,1.18,,agamemnon_gun_305_x1,1.333,1.385,1.2,,fus_gun_356_x1_a,1.29,1.4,1.34,,fus_gun_356_x1_a,1.31,1.39,1.36,,yamato_gun_b_460_x1,0.91,0.97,1.28,,,0.91,,,,,,,,
"gun_16_x2_japan_bb, bc",,406,gun_16_x2,japan,"bb, bc",agamemnon_gun_305_x2,1.308,1.368,1.18,,agamemnon_gun_305_x2,1.333,1.385,1.2,,fus_gun_356_x2_a,1.29,1.4,1.34,,fus_gun_356_x2_a,1.31,1.39,1.36,,yamato_gun_b_460_x2,0.91,0.97,1.28,,,0.91,,,,,,,,
"gun_16_x3_japan_bb, bc",,406,gun_16_x3,japan,"bb, bc",agamemnon_gun_305_x3,1.308,1.368,1.18,,agamemnon_gun_305_x3,1.333,1.385,1.2,,fus_gun_356_x3_a,1.29,1.4,1.34,,fus_gun_356_x3_a,1.31,1.39,1.36,,yamato_gun_b_460_x3,0.91,0.97,1.28,,,0.91,,,,,,,,
"gun_17_x1_japan_bb, bc",,432,gun_17_x1,japan,"bb, bc",fus_gun_356_x1_a,1.37,1.39,1.3,,yamato_gun_460_x1,0.962,0.987,1.22,,yamato_gun_b_460_x1,0.97,1,1.24,,yamato_gun_b_460_x1,0.99,1.01,1.26,,yamato_gun_b_460_x1,1,1.02,1.28,,,1,,,,,,,,
"gun_17_x2_japan_bb, bc",,432,gun_17_x2,japan,"bb, bc",fus_gun_356_x2_a,1.37,1.39,1.3,,yamato_gun_460_x2,0.962,0.987,1.22,,yamato_gun_b_460_x2,0.97,1,1.24,,yamato_gun_b_460_x2,0.99,1.01,1.26,,yamato_gun_b_460_x2,1,1.02,1.28,,,1,,,,,,,,
"gun_17_x3_japan_bb, bc",,432,gun_17_x3,japan,"bb, bc",fus_gun_356_x3_a,1.37,1.39,1.3,,yamato_gun_460_x3,0.962,0.987,1.22,,yamato_gun_b_460_x3,0.97,1,1.24,,yamato_gun_b_460_x3,0.99,1.01,1.26,,yamato_gun_b_460_x3,1,1.02,1.28,,,1,,,,,,,,
"gun_18_x1_japan_bb, bc",,457,gun_18_x1,japan,"bb, bc",fus_gun_356_x1_a,1.43,1.45,1.3,,yamato_gun_460_x1,1.0125,1.053,1.22,,yamato_gun_b_460_x1,1.025,1.05,1.24,,yamato_gun_b_460_x1,1.04,1.06,1.26,,yamato_gun_b_460_x1,1.05,1.08,1.28,,,1.05,,,,,,,,
"gun_18_x2_japan_bb, bc",,457,gun_18_x2,japan,"bb, bc",fus_gun_356_x2_a,1.43,1.45,1.3,,yamato_gun_460_x2,1.0125,1.053,1.22,,yamato_gun_b_460_x2,1.025,1.05,1.24,,yamato_gun_b_460_x2,1.04,1.06,1.26,,yamato_gun_b_460_x2,1.05,1.08,1.28,,,1.05,,,,,,,,
"gun_18_x3_japan_bb, bc",,457,gun_18_x3,japan,"bb, bc",fus_gun_356_x3_a,1.43,1.45,1.3,,yamato_gun_460_x3,1.0125,1.053,1.22,,yamato_gun_b_460_x3,1.025,1.05,1.24,,yamato_gun_b_460_x3,1.04,1.06,1.26,,yamato_gun_b_460_x3,1.05,1.08,1.28,,,1.05,,,,,,,,
"gun_19_x1_japan_bb, bc",,483,gun_19_x1,japan,"bb, bc",fus_gun_356_x1_a,1.49,1.51,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_19_x2_japan_bb, bc",,483,gun_19_x2,japan,"bb, bc",fus_gun_356_x2_a,1.49,1.51,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_19_x3_japan_bb, bc",,483,gun_19_x3,japan,"bb, bc",fus_gun_356_x3_a,1.49,1.51,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_20_x1_japan_bb, bc",,508,gun_20_x1,japan,"bb, bc",fus_gun_356_x1_a,1.55,1.59,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_20_x2_japan_bb, bc",,508,gun_20_x2,japan,"bb, bc",fus_gun_356_x2_a,1.55,1.59,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_20_x3_japan_bb, bc",,508,gun_20_x3,japan,"bb, bc",fus_gun_356_x3_a,1.55,1.59,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_8_x1_japan_ca,cl",,203,gun_8_x1,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x1,1.075,1.17,1.25,,,,,,,,,,,
"gun_8_x2_japan_ca,cl",,203,gun_8_x2,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x2,1.075,1.17,1.25,,,,,,,,,,,
"gun_8_x3_japan_ca,cl",,203,gun_8_x3,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x3,1.075,1.17,1.25,,,,,,,,,,,
"gun_9_x1_japan_ca,cl",,229,gun_9_x1,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x1,1.2,1.27,1.25,,,,,,,,,,,
"gun_9_x2_japan_ca,cl",,229,gun_9_x2,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x2,1.2,1.27,1.25,,,,,,,,,,,
"gun_9_x3_japan_ca,cl",,229,gun_9_x3,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x3,1.2,1.27,1.25,,,,,,,,,,,
"gun_10_x1_japan_ca,cl",,254,gun_10_x1,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x1,1.3,1.41,1.25,,,,,,,,,,,
"gun_10_x2_japan_ca,cl",,254,gun_10_x2,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x2,1.3,1.41,1.25,,,,,,,,,,,
"gun_10_x3_japan_ca,cl",,254,gun_10_x3,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x3,1.3,1.41,1.25,,,,,,,,,,,
"gun_11_x1_japan_ca,cl",,279,gun_11_x1,japan,"ca,cl",,,,,,,,,,,,,,,,,,,,,pola_gun_203_x1,1.45,1.56,1.25,,,,,,,,,,,
